1,"0,326","0,383","0,313","0,364","0,381","0,431","0,27","0,453","0,347","0,356","0,42","0,323","0,334","0,326","0,367","0,308","0,261","0,437","0,315","0,344","0,319","0,375","0,394","0,41","0,36","0,302","0,123","0,193","0,319","0,335","0,353","0,376","0,291","0,275","0,365","0,314","0,27","0,321","0,405","0,41","0,44","0,345","0,381","0,128","0,326","0,45","0,481","0,348","0,343","0,383","0,34","0,436","0,258","0,406","0,307","0,402","0,306","0,325","0,423","0,41","0,363","0,258","0,406","0,307","0,402","0,306","0,325","0,423","0,41","0,363","0,339","0,323","0,294",0,0,"1,129","0,342","0,277","0,389","0,29","0,332","0,294","0,465","0,311","0,294","0,345","0,277","0,32","0,363","0,419","0,321","0,334","0,303","0,318","0,32","0,32","0,232","0,439","0,256","0,389","0,294","0,331","0,222","0,509","0,41","0,401","0,287","0,332","0,327","0,283","0,295","0,308","0,214","0,485","0,238","0,272","0,3","0,372","0,128","0,515","0,348","0,284","0,368","0,109","0,38","0,365","0,257","0,348","0,262","0,418","0,322","0,384","0,332","0,291","0,373","0,238","0,2","0,456","0,375","0,363","0,284","0,326","0,273","0,309","0,299","0,404","0,256","0,384","0,33","0,337","0,309","0,303","0,397","0,256","0,296","0,359","0,266","0,318","0,329","0,356","0,232","0,337","0,28","0,286","0,329","0,323","0,51","0,203","0,304","0,342","0,276","0,337","0,34","0,364","0,29","0,308","0,296","0,281","0,142",0,"1,03","0,244","0,353","0,297","0,302",0,0,"1,016","0,328","0,377","0,304","0,257","0,376","0,332","0,398","0,245","0,354","0,227","0,333","0,388","0,34","0,184","0,312","0,322","0,266","0,368","0,308","0,324","0,341","0,385","0,273","0,321","0,33","0,302"
2,"0,118","0,246","0,028","0,22","0,331","0,218","0,086","0,101","0,032","0,342","0,156","0,307","0,08","0,035","0,123","0,124","0,194","0,105","0,091","0,105","0,21","0,185","0,211","0,008",0,0,0,0,0,0,0,"0,04","0,656","0,106","0,063","0,079","0,174","0,225","0,256","0,254","0,372","0,111","0,001",0,"0,001",0,"0,001",0,"0,003",0,0,"0,006",0,"0,497","0,205","0,085","0,163","0,226","0,263","0,098","0,105",0,"0,497","0,205","0,085","0,163","0,226","0,263","0,098","0,105","0,378","0,108","0,059",0,0,"0,739","0,356","0,194","0,251",0,"0,006",0,0,"0,009",0,0,0,"0,076","0,313","0,134","0,223","0,147","0,107","0,093","0,223","0,223","0,271","0,096","0,099","0,144","0,182","0,063","0,146","0,498","0,192","0,116","0,07","0,107","0,357","0,312","0,291","0,084","0,147","0,101","0,135","0,259","0,28","0,005","0,162","0,023",0,0,"0,001","0,388","0,344","0,11","0,083","0,077","0,22","0,146","0,206","0,098","0,214","0,161","0,393","0,129","0,166","0,13","0,178","0,114","0,076","0,043",0,"0,286","0,095","0,218","0,038","0,09","0,028","0,253","0,423","0,194","0,15","0,12","0,046","0,159","0,167","0,383","0,211","0,2","0,256","0,133","0,093","0,061","0,339","0,191","0,147","0,202","0,147","0,397","0,133","0,374","0,325","0,111","0,121","0,258","0,174","0,185","0,097",0,"0,604","0,121","0,236","0,207","0,151",0,0,"0,777","0,133","0,107","0,196","0,141","0,186","0,235","0,26","0,055","0,12","0,134","0,126","0,173","0,298","0,124","0,195","0,12","0,307","0,145","0,217","0,198","0,257",0,0,0,"0,349","0,334"
3,"0,146","0,044","0,154","0,112","0,087","0,102",0,"0,159","0,146",0,0,"0,062","0,037","0,124","0,08","0,146","0,134","0,425","0,094","0,172","0,097","0,294",0,"0,301","0,167","0,106","0,101","0,027",0,0,"0,076",0,"0,295","0,033","0,083","0,097","0,087",0,"0,48","0,109",0,0,0,0,"0,023","0,285","0,224","0,275","0,031",0,0,0,0,0,0,0,"0,098","0,166","0,111","0,138","0,378",0,0,0,0,"0,098","0,166","0,111","0,138","0,378",0,"0,396","0,118",0,0,"0,371","0,081","0,11","0,096","0,092","0,126","0,106","0,366","0,081","0,073","0,035","0,14","0,075","0,11","0,114","0,114","0,103","0,115","0,123","0,077","0,077","0,112","0,176","0,251",0,"0,525","0,102","0,069","0,038","0,08","0,08","0,031","0,156","0,086","0,123",0,"0,228","0,097",0,"0,191","0,098","0,085","0,045","0,196","0,131","0,108","0,051","0,09","0,339",0,"0,201","0,131","0,152","0,196",0,0,0,0,0,"1,069","0,108",0,"0,211","0,184","0,111","0,159","0,116","0,116","0,088","0,092","0,145","0,116","0,058","0,464","0,08","0,116","0,079","0,097","0,087","0,24","0,186","0,1","0,077","0,088","0,087","0,087","0,203","0,143","0,118","0,137","0,026","0,115","0,126","0,112","0,085","0,236",0,"0,033","0,099","0,084","0,22","0,09","0,077","0,041",0,"0,233","0,075","0,091","0,049","0,131",0,0,"0,291","0,42","0,071",0,"0,053","0,149","0,137","0,046","0,245","0,098","0,095","0,096","0,137","0,056","0,097","0,117","0,08","0,126","0,117","0,262","0,007",0,"0,054","0,026","0,118","0,073","0,137"
4,"0,138","0,229","0,268","0,2","0,471","0,344","0,115","0,139","0,244","0,569","0,395","0,226","0,248","0,298","0,249","0,637","0,105","0,97","0,182","0,326","0,376","0,306","0,681","0,82","0,322","0,474","0,598","0,525","0,411","0,921","0,504","0,363","0,1","0,245","0,25","0,281","0,664","0,308","0,246","0,257","0,273","0,247","0,208","0,46","0,573","0,485","0,054","0,224","0,199","0,197","0,192","0,627","0,599","0,184","0,186","0,474","0,223","0,318","0,373","0,107","0,077","0,599","0,184","0,186","0,474","0,223","0,318","0,373","0,107","0,077","0,045","0,174","0,136",0,0,"0,856","0,395","0,376","0,489","0,231","0,39","0,362","0,326","0,1","0,103","0,136","0,293","0,367","0,269","0,348","0,114","0,157","0,334","0,162","0,537","0,537","0,279","0,345","0,335","0,131","0,178","0,256","0,512","0,202",0,0,0,0,0,0,"0,258","0,155","0,197","0,069","0,174","0,604","0,533","0,206","0,194","0,139","0,253","0,393","0,133","0,424","0,169","0,151","0,104","0,256","0,198","0,255","0,195","0,35","0,206","0,276","0,211","0,288","0,171","0,916","0,217","0,169","0,236","0,274","0,193","0,352","0,539","0,19","0,223","0,292","0,175","0,203","0,221","0,288","0,104","0,246","0,305","0,215","0,21","0,439","0,484","0,17","0,255","0,229","0,205","0,242","0,321","0,564","0,445","0,244","0,13","0,174","0,136","0,416","0,328","0,331","0,315","0,191","0,264","0,171","0,077",0,"0,947","0,208","0,211","0,307","0,249",0,0,"1,09","0,261","0,241","0,17","0,183","0,269","0,359","0,119","0,238","0,231","0,214","0,283","0,379","0,424","0,296","0,199","0,202","0,136","0,228","0,411","0,503","0,265","0,388","0,221","0,431","0,296","0,291"
5,"0,102","0,085","0,317",0,0,0,"0,17","0,196","0,077",0,0,0,"0,117","0,071","0,129","0,055","0,101","0,062","0,21","0,099","0,217","0,105","0,09","0,166",0,0,"0,001","0,103",0,"0,249","0,293","0,165","0,101","0,161","0,04","0,062","0,068","0,059","0,218",0,"0,415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,233","0,173","0,25",0,0,0,0,0,0,"0,233","0,173","0,25","0,143",0,0,0,0,"0,376","0,104","0,227","0,157",0,0,0,"0,08","0,067","0,084","0,117","0,089","0,085","0,131","0,266","0,096","0,181","0,05",0,"0,012","0,012","0,094","0,15","0,089","0,09",0,0,0,"0,07","0,225",0,"0,259","0,069","0,047","0,061","0,057","0,084","0,079",0,"0,043","0,1","0,157","0,103","0,089","0,111","0,168",0,0,0,"0,174","0,215","0,15","0,129","0,079","0,017","0,159","0,199","0,144","0,178","0,102","0,076","0,03","0,267","0,131","0,212","0,209","0,115",0,0,0,0,0,"0,609","0,09",0,0,0,"0,092","0,102","0,051","0,075","0,089","0,248","0,228","0,168","0,159","0,155","0,126","0,083","0,184","0,252","0,149","0,071","0,085","0,046",0,0,"0,087","0,206","0,157","0,156","0,092","0,067","0,007",0,"0,308","0,201","0,177","0,063",0,0,0,"0,347","0,185","0,078","0,058",0,0,0,"0,294","0,302","0,201","0,067","0,126","0,119","0,249","0,271","0,185","0,086","0,117","0,149","0,106",0,0,0,0,0,0,"0,142"
7,"0,299","0,211","0,304","0,02","0,003","0,272","0,189","0,325","0,194","0,003","0,378","0,134","0,463","0,258","0,272","0,162","0,004","0,301","0,255","0,292","0,238","0,167","0,12","0,004","0,003","0,004","0,002","0,354","0,144","0,004","0,272","0,121","0,163","0,499","0,34","0,449","0,065","0,105","0,316","0,122","0,067","0,165","0,263","0,21","0,35","0,205","0,084","0,33","0,265","0,334","0,218","0,088","0,003","0,001","0,003","0,003","0,004","0,002","0,088","0,316","0,023","0,003","0,001","0,003","0,003","0,004","0,002","0,088","0,316","0,023","0,002","0,002","0,125",0,0,"0,592","0,288","0,184","0,274","0,034","0,004","0,1","0,324","0,194","0,284","0,269","0,212","0,221","0,029","0,169","0,524","0,294","0,247","0,002","0,005","0,005","0,205","0,17","0,272","0,302","0,48","0,274","0,254","0,334","0,194","0,327","0,257","0,176","0,308","0,131","0,207","0,3","0,214","0,226","0,641","0,112","0,231","0,317","0,25","0,324","0,197","0,18","0,004","0,004","0,002","0,004","0,004","0,001","0,003","0,004","0,001","0,005","0,003","0,003","0,004","0,004","0,005","0,218","0,334","0,325","0,375","0,216","0,239","0,318","0,452","0,234","0,239","0,232","0,182","0,313","0,004","0,005","0,301","0,278","0,35","0,239","0,208","0,251","0,356","0,211","0,24","0,306","0,206","0,324","0,087","0,177","0,27","0,321","0,226","0,302","0,2","0,313","0,316","0,346","0,144","0,332","0,209","0,313","0,121",0,"0,692","0,274","0,236","0,211","0,321",0,0,"0,624","0,219","0,39","0,308","0,26","0,22","0,319","0,288","0,2","0,272","0,138","0,241","0,312","0,242","0,371","0,189","0,322","0,106","0,435","0,335","0,022","0,004","0,006","0,005","0,297","0,315","0,246"
8,"0,141","0,244","0,201","0,15","0,259","0,329","0,147","0,175","0,153","0,547","0,204","0,18","0,147","0,148","0,112","0,265","0,388","0,231","0,096","0,087","0,108","0,093","0,437","0,139",0,0,"0,104","0,016","0,086",0,0,0,0,0,"0,012","0,021","0,068","0,082",0,0,0,0,"0,121","0,015",0,0,"0,018","0,178","0,339","0,294","0,206","0,496","0,307","0,328","0,221","0,203","0,196","0,459","0,352","0,467","0,132","0,307","0,328","0,221","0,203","0,196","0,459","0,352","0,467","0,132","0,188","0,138",0,0,0,"1,31","0,311","0,238","0,136","0,221","0,386","0,405","0,149","0,203","0,334","0,167","0,164","0,168","0,385","0,364","0,15","0,155","0,236","0,166","0,383","0,383","0,324","0,323","0,172","0,205","0,137","0,183","0,355","0,364","0,242","0,178","0,182","0,279","0,139","0,31","0,46","0,118","0,179","0,232","0,146","0,342","0,412","0,162","0,195","0,29","0,196","0,056","0,353","0,403","0,214","0,097","0,313","0,094","0,252","0,386","0,164","0,353","0,148","0,1","0,293","0,403","0,12","0,407","0,324","0,304","0,185","0,152","0,168","0,227","0,137","0,344","0,248","0,176","0,172","0,424","0,386","0,273","0,206","0,203","0,175","0,302","0,125","0,248","0,335","0,392","0,322","0,33","0,165","0,265","0,212","0,233","0,186","0,289","0,27","0,459","0,315","0,246","0,291","0,16","0,367","0,156","0,217",0,0,0,"1,04","0,285","0,149","0,08","0,241",0,0,"1,157","0,202","0,1","0,184","0,104","0,28","0,383","0,236","0,17","0,154","0,421","0,277","0,24","0,443","0,209","0,09","0,211","0,272","0,348","0,205","0,196",0,"0,496","0,111","0,157","0,323","0,261"
9,"0,092","0,147","0,129","0,096",0,"0,091","0,071","0,176","0,043",0,"0,1","0,11","0,124","0,141","0,339","0,03",0,0,"0,118","0,168","0,139","0,113",0,0,0,"0,004",0,0,"0,058",0,0,0,0,"0,122","0,073","0,045","0,148",0,"0,078","0,131","0,139","0,057","0,257",0,"0,001","0,121","0,096","0,336","0,065","0,23",0,0,"0,128","0,246","0,178","0,159","0,155",0,0,0,0,"0,128","0,246","0,178","0,159","0,155",0,0,0,0,0,0,"0,004",0,0,"0,085","0,271","0,374","0,129","0,279","0,38","0,131","0,129","0,068","0,077","0,126","0,183","0,086","0,117","0,165","0,093","0,146","0,11","0,144","0,12","0,12",0,0,0,0,"0,001",0,0,0,"0,26","0,176","0,184","0,368",0,0,0,"0,04","0,401","0,104","0,176","0,048",0,"0,085","0,156","0,02",0,0,0,0,"0,138","0,082","0,237","0,155","0,189",0,0,"0,159","0,158","0,141","0,156",0,0,0,"0,053","0,204","0,244","0,254","0,166",0,0,"0,06",0,"0,394","0,121",0,0,0,"0,079","0,167","0,166","0,21",0,"0,257","0,065","0,236","0,322","0,222","0,262","0,044",0,0,"0,126","0,214","0,166","0,048",0,0,0,"0,28","0,211","0,15","0,154","0,195",0,0,"0,167","0,157","0,191","0,167","0,357",0,0,"1,081","0,132","0,103","0,202","0,134",0,"0,113","0,189","0,122","0,114","0,197","0,376","0,595","0,163","0,117","0,216","0,131","0,095","0,156","0,891","0,237","0,26","0,243","0,347","0,338","0,32","0,106"
10,"0,084","0,053","0,187","0,096",0,"0,011","0,045","0,057","0,168","0,016","0,097",0,"0,018","0,086","0,072","0,012","0,083","0,078","0,112",0,"0,016","0,07","0,157","0,009","0,032",0,"0,015","0,032","0,068","0,031",0,0,0,"0,219","0,037","0,027","0,014",0,0,"0,035","0,171",0,"0,02",0,0,"0,024",0,0,"0,073","0,02",0,"0,047","0,004","0,003","0,114","0,18","0,277",0,0,0,"0,074","0,004","0,003","0,114","0,18","0,277",0,0,0,"0,074","0,069",0,"0,009",0,0,"0,001","0,038",0,"0,012","0,069",0,"0,019","0,031",0,0,"0,017","0,041","0,072",0,"0,022","0,007","0,031","0,055","0,006","0,054","0,054","0,015",0,"0,234",0,0,"0,201",0,"0,087","0,083",0,"0,084","0,082","0,06","0,03","0,025","0,079","0,083","0,089","0,08","0,078","0,044","0,096","0,011","0,036",0,0,"0,057","0,045","0,066","0,19","0,067","0,032",0,"0,026",0,0,"0,091","0,093","0,093","0,054",0,0,"0,057",0,0,0,"0,019","0,064","0,021","0,121","0,127","0,108","0,043","0,122","0,098","0,156","0,099","0,104","0,069","0,057","0,064","0,135","0,111","0,073","0,146","0,113","0,296","0,133","0,088","0,121","0,095","0,091","0,04","0,031","0,065","0,084","0,059","0,129","0,057","0,119","0,106","0,089","0,033",0,"0,395","0,077","0,125","0,077","0,13",0,0,"0,4","0,112","0,232","0,107","0,08","0,075","0,143","0,093","0,081","0,034","0,166","0,122","0,093","0,058","0,1","0,095","0,185","0,109","0,046","0,134","0,139","0,071","0,083","0,118","0,103","0,097","0,207"
11,"0,211","0,262","0,209","0,048",0,"0,181","0,136","0,239","0,218","0,101","0,138","0,184","0,202","0,196","0,213","0,169",0,0,0,0,0,0,0,0,"0,47","0,122","0,27","0,196","0,19","0,158","0,189","0,214","0,166","0,157","0,218","0,225",0,"0,196","0,346","0,195","0,054","0,336","0,173","0,259","0,274","0,266","0,186","0,251","0,285","0,132",0,"0,171","0,288","0,225","0,119","0,267","0,251","0,02",0,"0,204","0,162","0,288","0,225","0,119","0,267","0,251","0,02",0,"0,204","0,162","0,216","0,156","0,152",0,0,"0,525",0,"0,319","0,173","0,074","0,219","0,122","0,201","0,133","0,178","0,101","0,064","0,203","0,133","0,265","0,065","0,113","0,142","0,197","0,053","0,053","0,187","0,064","0,183",0,"0,277","0,122","0,237","0,153","0,185",0,"0,256",0,"0,165",0,"0,432",0,"0,253","0,159","0,151","0,264",0,"0,368","0,19","0,167","0,153","0,098","0,138","0,137","0,115","0,063","0,255","0,181","0,093","0,075","0,074","0,384","0,15","0,131","0,072","0,198",0,"0,351","0,18","0,117","0,146","0,107","0,17",0,"0,264","0,111",0,"0,184","0,194","0,128",0,"0,263","0,123","0,154","0,114","0,148","0,205","0,071","0,237","0,187","0,158","0,202","0,105","0,079","0,386","0,166","0,162","0,162","0,148","0,142","0,145","0,199","0,19","0,117","0,14","0,181","0,076","0,293","0,07",0,"0,275","0,172","0,282","0,167","0,152",0,0,"0,5","0,131","0,156","0,153","0,2","0,227","0,208","0,234","0,128","0,105","0,142","0,147","0,179",0,"0,262","0,118","0,143","0,128","0,21","0,215","0,37","0,035","0,13","0,113","0,167","0,206","0,134"
