id,vchod,podil,#osob,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3,A,"3,89",2,"0,303","0,318","0,32","0,32","0,232","0,439","0,256","0,389","0,294","0,331","0,222","0,509","0,41","0,401","0,287","0,332","0,327","0,283","0,295","0,308","0,214","0,485","0,238","0,272","0,3","0,372","0,128","0,515","0,348","0,284"
25,A,"2,74",2,"0,107","0,093","0,223","0,223","0,271","0,096","0,099","0,144","0,182","0,063","0,146","0,498","0,192","0,116","0,07","0,107","0,357","0,312","0,291","0,084","0,147","0,101","0,135","0,259","0,28","0,005","0,162","0,023",0,0
5,A,"3,34",1,"0,115","0,123","0,077","0,077","0,112","0,176","0,251",0,"0,525","0,102","0,069","0,038","0,08","0,08","0,031","0,156","0,086","0,123",0,"0,228","0,097",0,"0,191","0,098","0,085","0,045","0,196","0,131","0,108","0,051"
22,A,"2,8",4,"0,334","0,162","0,537","0,537","0,279","0,345","0,335","0,131","0,178","0,256","0,512","0,202",0,0,0,0,0,0,"0,258","0,155","0,197","0,069","0,174","0,604","0,533","0,206","0,194","0,139","0,253","0,393"
15,A,"3,91",1,"0,05",0,"0,012","0,012","0,094","0,15","0,089","0,09",0,0,0,"0,07","0,225",0,"0,259","0,069","0,047","0,061","0,057","0,084","0,079",0,"0,043","0,1","0,157","0,103","0,089","0,111","0,168",0
17,A,"3,33",3,0,0,0,0,0,0,"1,121",0,0,0,"0,661",0,0,0,0,"0,564",0,0,0,0,0,0,0,0,0,0,"1,185",0,0,0
1,A,"2,82",2,"0,247","0,002","0,005","0,005","0,205","0,17","0,272","0,302","0,48","0,274","0,254","0,334","0,194","0,327","0,257","0,176","0,308","0,131","0,207","0,3","0,214","0,226","0,641","0,112","0,231","0,317","0,25","0,324","0,197","0,18"
26,A,"3,93",2,"0,236","0,166","0,383","0,383","0,324","0,323","0,172","0,205","0,137","0,183","0,355","0,364","0,242","0,178","0,182","0,279","0,139","0,31","0,46","0,118","0,179","0,232","0,146","0,342","0,412","0,162","0,195","0,29","0,196","0,056"
16,A,"3,37",2,"0,11","0,144","0,12","0,12",0,0,0,0,"0,001",0,0,0,"0,26","0,176","0,184","0,368",0,0,0,"0,04","0,401","0,104","0,176","0,048",0,"0,085","0,156","0,02",0,0
9,A,"2,81",2,"0,055","0,006","0,054","0,054","0,015",0,"0,234",0,0,"0,201",0,"0,087","0,083",0,"0,084","0,082","0,06","0,03","0,025","0,079","0,083","0,089","0,08","0,078","0,044","0,096","0,011","0,036",0,0
21,A,"3,87",1,"0,142","0,197","0,053","0,053","0,187","0,064","0,183",0,"0,277","0,122","0,237","0,153","0,185",0,"0,256",0,"0,165",0,"0,432",0,"0,253","0,159","0,151","0,264",0,"0,368","0,19","0,167","0,153","0,098"
4,B,"4,03",1,"1,928","1,933","1,93","1,93","1,93","0,972","1,922","1,899","1,913","1,899","1,896","1,884","1,862","1,882","1,881","0,291","0,116","0,401","0,348","0,283","0,334","0,426","0,461","0,341","0,269","0,297","0,15","0,132","0,24","0,235"
7,B,"3,89",1,0,0,"0,014","0,014","0,059","0,028","0,043","0,024",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,026",0,0,0,0,0,0,"0,008",0
29,B,"2,86",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,014",0,0,0,0,0,0
10,B,"3,83",3,"0,197","0,164",0,0,"0,042","0,387","0,192","0,254","0,286","0,154","0,009","0,017","0,21","0,084","0,073","0,194","0,26",0,"0,148","0,372","0,117","0,19","0,315","0,016",0,"0,12","0,149","0,265","0,014","0,219"
